date,rainfall
2014-05-01,0.2
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.5
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,0.0
2014-05-10,3.5
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,1.8
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,3.4
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,5.2
2014-06-06,0.5
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,3.6
2014-06-11,0.8
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,1.8
2014-06-17,1.7
2014-06-18,0.0
2014-06-19,0.2
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,0.0
2014-07-04,0.4
2014-07-05,0.3
2014-07-06,0.0
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,5.8
2014-07-12,4.8
2014-07-13,5.3
2014-07-14,0.2
2014-07-15,0.6
2014-07-16,5.6
2014-07-17,6.9
2014-07-18,12.0
2014-07-19,6.7
2014-07-20,2.6
2014-07-21,6.6
2014-07-22,26.6
2014-07-23,20.7
2014-07-24,5.0
2014-07-25,2.3
2014-07-26,2.8
2014-07-27,0.0
2014-07-28,4.4
2014-07-29,10.6
2014-07-30,84.3
2014-07-31,67.9
2014-08-01,11.1
2014-08-02,2.5
2014-08-03,3.9
2014-08-04,13.6
2014-08-05,40.9
2014-08-06,5.3
2014-08-07,5.5
2014-08-08,1.3
2014-08-09,1.9
2014-08-10,0.4
2014-08-11,0.5
2014-08-12,0.3
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,1.2
2014-08-16,1.1
2014-08-17,2.8
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,23.4
2014-08-21,1.6
2014-08-22,3.9
2014-08-23,33.5
2014-08-24,26.3
2014-08-25,63.3
2014-08-26,0.1
2014-08-27,6.1
2014-08-28,1.9
2014-08-29,5.4
2014-08-30,22.8
2014-08-31,0.0
2014-09-01,15.0
2014-09-02,1.2
2014-09-03,2.8
2014-09-04,5.8
2014-09-05,4.2
2014-09-06,9.5
2014-09-07,0.0
2014-09-08,0.6
2014-09-09,0.8
2014-09-10,3.4
2014-09-11,0.2
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,0.0
2014-09-16,0.0
2014-09-17,0.0
2014-09-18,0.3
2014-09-19,0.0
2014-09-20,1.9
2014-09-21,0.0
2014-09-22,0.0
2014-09-23,0.0
2014-09-24,0.0
2014-09-25,21.6
2014-09-26,61.2
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.0
2014-09-30,0.0
2014-10-01,0.3
2014-10-02,8.1
2014-10-03,0.0
2014-10-04,0.0
2014-10-05,0.2
2014-10-06,0.0
2014-10-07,0.0
2014-10-08,4.4
2014-10-09,0.0
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,5.5
2014-10-20,0.0
2014-10-21,0.0
2014-10-22,1.6
2014-10-23,0.0
2014-10-24,0.0
2014-10-25,0.0
2014-10-26,5.3
2014-10-27,0.5
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,0.0
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,4.4
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.6
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.4
2015-05-14,102.8
2015-05-15,0.0
2015-05-16,3.3
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
