,Pashan,Shivajinagar,Lohegaon,Katraj,Hadapsar,
Apr-2016,10.80,8.00,7.40,0.60,0.00,
May-2016,5.40,7.80,3.61,0.00,4.36,
Jun-2016,79.60,62.20,71.21,38.00,15.26,
Jul-2016,280.60,242.00,251.00,210.40,169.69,
Aug-2016,276.00,351.00,233.43,153.40,271.00,
Sep-2016,69.80,56.40,103.00,24.40,62.14,
Oct-2016,48.40,96.60,58.40,46.40,174.40,
Nov-2016,0.00,0.00,0.00,0.00,0.00,
Dec-2016,0.00,0.00,0.00,0.00,0.00,
Jan-2017,0.00,0.00,0.00,0.00,0.00,
Feb-2017,0.00,0.00,0.00,0.00,0.00,
Mar-2017,0.00,0.00,0.00,0.00,0.00,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
