_,MAX TEMP,MIN TEMP,Total Rainfall (mm)
1980,40.7,7.2,749.1
1981,42.1,4.7,792.5
1982,40,8.4,551.8
1983,42.5,6.4,762.1
1984,41.3,5.1,906.3
1985,41.9,5.5,629.1
1986,40.5,5.9,570.1
1987,41.6,6.8,718.9
1988,41.8,7.1,946
1989,41.3,6.6,668.6
1990,41.3,6.7,902.4
1991,41.5,2.8,1013.3
1992,40.4,5.1,640.7
1993,41.6,4.5,743.1
1994,40.6,4.4,966.2
1995,40.7,6.8,627.6
1996,41.1,6.1,803.9
1997,40,4.7,1025.8
1998,42.4,6.1,800.7
1999,41.2,6.9,732.7
2000,41.2,5.6,558.3
2001,42.1,7.3,548.6
2002,42.4,5.5,424.7
2003,42.4,6.9,459
2004,41.3,7.3,913.3
2005,41.8,5.7,1338.4
2006,40.5,4.7,1266.9
2007,41.9,8.2,864.5
2008,42.1,5.8,756.6
2009,41.9,6.5,823.2
2010,41.5,7.3,1058.3
2011,40.4,5.3,941.5
2012,39.9,6.6,519.4
2013,41.3,6.8,774.1
2014,40.7,7.1,829
2015,40.8,6.6,829.2
2016,41,7.3,672.9
2017,41.1,7.4,921
2018,40.8,5.9,490.1
2019,43,5.1,1411
2020,,,
